merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"674","Pad 184 Well 1","2","9","1"," 0000000443","11","1","1","19","1","61","17","81","0d7de1aca9299fe63f3e0041f02638a3","bcf0cf94-95a8-4665-8a40-e1fab856e7ec","1"," 0000000443"
"154","Pad 263 Well 5","2","9","1"," 0000000358","6","1","1","19","1","219","17","81","1d7f7abc18fcb43975065399b0d1e48e","59a1b367-907f-484f-946f-1f9e7c24cacc","1"," 0000000358"
"2255","Pad 89 Well 1","2","18","1"," 0000000224","0","7","5","90","46","465","17","31","c2ba1bc54b239208cb37b901c0d3b363","66da5cfc-c57e-480b-9546-ae34dc048680","1"," 0000000224"
"2167","Pad 83 Well 1","2","18","34"," 0000000556","0","7","5","18","22","436","17","85",,"52f4fcc4-9a3b-4c71-b662-ba1871e7427d","1"," 0000000556"
"524","Pad 239 Well 1","2","9","1"," 0000000354","8","1","1","28","1","259","17","81","ba2fd310dcaa8781a9a652a31baf3c68","77cd1494-3e80-49f6-8326-0f58f2eee2b6","1"," 0000000354"
"2066","Pad 25 Well 1","2","18","34"," 0000000045","0","7","5","90","20","416","17","31","6f4920ea25403ec77bee9efce43ea25e","155fd47a-8d44-4891-8a46-7ccfb036ebaf","1"," 0000000045"
"1127","Pad 353 Well 1","1","18","2"," 0000000846","17","3","2","53","11","109","42","149","678a1491514b7f1006d605e9161946b1","2a904ea8-ea4d-4ac3-ae22-52b84cfd6059","1"," 0000000846"
"1332","Well 120","2","18","1"," 0000000815","19","3","3","55","12","156","42","149","28e209b61a52482a0ae1cb9f5959c792","94695cf2-f3a6-44c7-9b43-2979bf533515","1"," 0000000815"
"1504","Well 197","1","18","2"," 0000000698","28","6","4","47","16","179","42","123","49b8b4f95f02e055801da3b4f58e28b7","130e64ec-a508-4f5b-9482-f54ac4c2d577","1"," 0000000698"
"31","Pad 190 Well 2","2","9","1"," 0000000436","8","1","1","19","1","77","17","81","c16a5320fa475530d9583c34fd356ef5","b9259c42-b48f-4251-8eeb-d39c849d1cae","1"," 0000000436"
"409","Pad 275 Well 4","2","9","34"," 0000000387","6","1","1","19","1","212","17","81","a96b65a721e561e1e3de768ac819ffbb","f996eec1-f77d-49d2-b08d-42cec647f6bd","1"," 0000000387"
