propnum,allocid,propname,apinum,nri
"43ec517d68b6edd3015b3edc9a11367b","81","Pad 202 Well 1"," 0000000273","0.75"
"d4c2e4a3297fe25a71d030b67eb83bfc","728","Pad 177 Well 2"," 0000000627","0.95"
"c3535febaff29fcb7c0d20cbe94391c7","2110","Pad 44 Well 1"," 0000000167","0.95"
"afda332245e2af431fb7b672a68b659d","822","Pad 290 Well 1"," 0000000067","1"
"3def184ad8f4755ff269862ea77393dd","125","Pad 323 Well 1"," 0000000282","1"
"f4f6dce2f3a0f9dada0c2b5b66452017","407","Pad 276 Well 2"," 0000000382","1"
"da4fb5c6e93e74d3df8527599fa62642","120","Pad 137 Well 1"," 0000000517","1"
"0e9fa1f3e9e66792401a6972d477dcc3","1288","Pad 366 Well 1"," 0000000859","0.9"
"24917db15c4e37e421866448c9ab23d8","2150","Pad 40 Well 1",,"0.89"
"e2c0be24560d78c5e599c2a9c9d0bbd2","203","Pad 273 Well 2"," 0000000429","0.76"
"371bce7dc83817b7893bcdeed13799b5","352","Pad 301 Well 1"," 0000000278","0.79"
"fd2c5e4680d9a01dba3aada5ece22270","1135","Well 36"," 0000000825","1"
"1a5b1e4daae265b790965a275b53ae50","446","Pad 218 Well 2"," 0000000191","1"
"bc7316929fe1545bf0b98d114ee3ecb8","1515","Well 201"," 0000000811","0.97"
"0189caa552598b845b29b17a427692d1","2045","Pad 261 Well 1"," 0000000010","0.96"
"7f100b7b36092fb9b06dfb4fac360931","271","Pad 147 Well 1"," 0000000101","1"
"8b0d268963dd0cfb808aac48a549829f","1471","Well 155"," 0000000719","0.81"
"f340f1b1f65b6df5b5e3f94d95b11daf","241","Pad 300 Well 1",,"0.84"
"443dec3062d0286986e21dc0631734c9","2225","Pad 338 Well 2"," 0000000866","1"
"eb76c035d5d0a2bd2a0d0834b93c9c26","2266","Pad 372 Well 1"," 0000000949","1"
"fcdf25d6e191893e705819b177cddea0","1494","Well 178"," 0000000710","1"
"f9028faec74be6ec9b852b0a542e2f39","838","Pad 141 Well 3"," 0000000569","0.99"
"17d63b1625c816c22647a73e1482372b","411","Pad 276 Well 4"," 0000000389","0.96"
"f3f1b7fc5a8779a9e618e1f23a7b7860","1316","Well 114"," 0000000676","1"
"1afa34a7f984eeabdbb0a7d494132ee5","131","Pad 325 Well 1"," 0000000321","1"
"1415db70fe9ddb119e23e9b2808cde38","1496","Well 180"," 0000000712","1"
"9cb67ffb59554ab1dabb65bcb370ddd9","1335","Pad 375 Well 1"," 0000000841","1"
"c86a7ee3d8ef0b551ed58e354a836f2b","389","Pad 136 Well 2"," 0000000609","0.76"
"b571ecea16a9824023ee1af16897a582","1205","Pad 362 Well 1"," 0000000916","1"
"8ca8da41fe1ebc8d3ca31dc14f5fc56c","2224","Pad 4 Well 3"," 0000000214","1"
"34173cb38f07f89ddbebc2ac9128303f","30","Pad 190 Well 1"," 0000000457","1"
"325995af77a0e8b06d1204a171010b3a","2069","Pad 49 Well 5"," 0000000050","0.97"
"fe9fc289c3ff0af142b6d3bead98a923","83","Pad 211 Well 4",,"0.89"
"653ac11ca60b3e021a8c609c7198acfc","2234","Pad 3 Well 1",,"1"
"db9eeb7e678863649bce209842e0d164","2314","Pad 351 Well 2",,"0.99"
"85fc37b18c57097425b52fc7afbb6969","621","Pad 192 Well 3"," 0000000434","1"
"70efdf2ec9b086079795c442636b55fb","17","Pad 1 Well 3"," 0000000141","0.95"
"01eee509ee2f68dc6014898c309e86bf","2226","Pad 338 Well 1"," 0000000867","0.94"
"cd4bb35c75ba84b4f39e547b1416fd35","2129","Pad 56 Well 1"," 0000000551","0.9"
"3644a684f98ea8fe223c713b77189a77","200","Pad 327 Well 1"," 0000000337","0.78"
"90aef91f0d9e7c3be322bd7bae41617d","2243","Pad 7 Well 1"," 0000000630","1"
"fbd7939d674997cdb4692d34de8633c4","76","Pad 193 Well 1"," 0000000462","1"
"19bc916108fc6938f52cb96f7e087941","712","Pad 173 Well 1"," 0000000597","0.79"
"b0df2270be9cb16c14537e5bc2f2d37b","2218","Pad 367 Well 1"," 0000000948","0.83"
"1a0a283bfe7c549dee6c638a05200e32","2111","Pad 87 Well 1"," 0000000169","1"
"8efb100a295c0c690931222ff4467bb8","387","Pad 135 Well 1"," 0000000593","1"
"6395ebd0f4b478145ecfbaf939454fa4","954","Pad 281 Well 1",,"1"
"158fc2ddd52ec2cf54d3c161f2dd6517","1667","Pad 405 Well 2"," 0000000921","0.85"
"37a749d808e46495a8da1e5352d03cae","152","Pad 263 Well 3"," 0000000361","0.97"
"2812e5cf6d8f21d69c91dddeefb792a7","1296","Well 224"," 0000000828","1"
"766ebcd59621e305170616ba3d3dac32","587","Pad 179 Well 1",,"1"
"0c9ebb2ded806d7ffda75cd0b95eb70c","1505","Well 198"," 0000000872","0.95"
"7b1ce3d73b70f1a7246e7b76a35fb552","2103","Pad 22 Well 1"," 0000000154","1"
"67c6a1e7ce56d3d6fa748ab6d9af3fd7","47","Pad 13 Well 2"," 0000000398","1"
"c81e728d9d4c2f636f067f89cc14862c","2","Pad 333 Well 1"," 0000000251","0.85"
"8f14e45fceea167a5a36dedd4bea2543","7","Pad 336 Well 1"," 0000000283","1"
"96de2547f44254c97f5f4f1f402711c1","1649","Well 247"," 0000000827","1"
"82965d4ed8150294d4330ace00821d77","1346","Well 125"," 0000000812","0.93"
"819e3d6c1381eac87c17617e5165f38c","2077","Pad 17 Well 1"," 0000000068","0.99"
"df12ecd077efc8c23881028604dbb8cc","1523","Well 204"," 0000000760","0.97"
"92fb0c6d1758261f10d052e6e2c1123c","851","Pad 326 Well 1"," 0000000263","0.86"
"44cd7a8f7f9f85129b9953950665064d","2120","Pad 66 Well 3"," 0000000524","0.91"
"5cbdfd0dfa22a3fca7266376887f549b","1501","Well 194"," 0000000687","1"
"500e75a036dc2d7d2fec5da1b71d36cc","707","Pad 171 Well 2"," 0000000592","1"
"a088ea2078cd92b0b8a0e78a32c5c082","2084","Pad 32 Well 1"," 0000000115","1"
"c8c41c4a18675a74e01c8a20e8a0f662","946","Pad 118 Well 2"," 0000000326","0.86"
"a381c2c35c9157f6b67fd07d5a200ae1","2155","Pad 73 Well 4"," 0000000602","0.89"
"07c5807d0d927dcd0980f86024e5208b","713","Pad 215 Well 1"," 0000000618","0.86"
"735b90b4568125ed6c3f678819b6e058","67","Pad 225 Well 2"," 0000000471","1"
"3806734b256c27e41ec2c6bffa26d9e7","1028","Pad 341 Well 1"," 0000000861","1"
"f9a40a4780f5e1306c46f1c8daecee3b","861","Pad 143 Well 2"," 0000000573","0.93"
"24f0d2c90473b2bc949ad962e61d9bcb","2105","Pad 21 Well 1"," 0000000159","1"
"f8e59f4b2fe7c5705bf878bbd494ccdf","2171","Pad 42 Well 1"," 0000000136","1"
